fecha Hora S_Proximidad S_Velocidad S_Peso S_Temperatura
2023-05-29 03:02:25.397645 9 11 67 25
2023-05-29 03:02:25.397645 4 16 28 44
2023-05-29 03:02:25.397645 1 31 71 22
2023-05-29 03:02:25.397645 3 16 81 13
2023-05-29 03:02:25.397645 9 26 74 57
2023-05-29 03:02:25.397645 4 18 53 42
2023-05-29 03:02:25.397645 5 9 20 69
2023-05-29 03:02:25.397645 2 22 68 11
2023-05-29 03:02:25.397645 1 6 43 99
2023-05-29 03:02:25.397645 5 3 97 91
2023-05-29 03:02:25.397645 8 34 47 35
2023-05-29 03:02:25.397645 9 18 74 11
2023-05-29 03:02:25.397645 3 12 18 55
2023-05-29 03:02:25.397645 1 15 85 76
2023-05-29 03:02:25.397645 7 7 90 74
2023-05-29 03:02:25.397645 3 7 97 33
2023-05-29 03:02:25.397645 1 33 46 27
2023-05-29 03:02:25.397645 3 7 32 39
2023-05-29 03:02:25.397645 5 6 89 74
2023-05-29 03:02:25.397645 2 1 30 85
2023-05-29 03:02:25.397645 4 16 54 18
2023-05-29 03:02:25.397645 3 16 19 52
2023-05-29 03:02:25.397645 9 11 55 84
2023-05-29 03:02:25.397645 3 17 45 40
2023-05-29 03:02:25.397645 6 24 73 26
2023-05-29 03:02:25.397645 3 3 85 84
2023-05-29 03:02:25.397645 3 7 59 76
2023-05-29 03:02:25.397645 1 17 39 61
2023-05-29 03:02:25.397645 3 5 23 24
2023-05-29 03:02:25.397645 6 5 57 35
2023-05-29 03:02:25.397645 5 18 57 77
2023-05-29 03:02:25.397645 6 24 71 71
2023-05-29 03:02:25.397645 0 29 20 8
2023-05-29 03:02:25.397645 2 5 96 43
2023-05-29 03:02:25.397645 5 5 20 73
2023-05-29 03:02:25.397645 1 1 73 78
2023-05-29 03:02:25.397645 9 16 19 87
2023-05-29 03:02:25.397645 5 19 87 2
2023-05-29 03:02:25.397645 6 19 38 57
2023-05-29 03:02:25.397645 6 31 84 38
2023-05-29 03:02:25.397645 4 22 21 24
2023-05-29 03:02:25.397645 4 11 12 32
2023-05-29 03:02:25.397645 4 6 33 27
2023-05-29 03:02:25.397645 2 21 72 26
2023-05-29 03:02:25.397645 5 7 76 95
2023-05-29 03:02:25.397645 6 32 15 42
2023-05-29 03:02:25.397645 8 2 77 95
2023-05-29 03:02:25.397645 1 21 33 52
2023-05-29 03:02:25.397645 7 9 72 68
2023-05-29 03:02:25.397645 0 14 41 42
2023-05-29 03:02:25.397645 0 28 13 86
